guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
085679_018047,3.111973,0.066249,17,4.6e-05,0.19032,0.310151,1
044839_098911,1.749099,0.352332,19,1e-06,0.804579,0.837252,1
071730_023148,2.668579,0.170849,13,4e-06,0.413469,0.596796,1
071730_021092,1.702818,0.362807,14,0.0,0.733659,0.845001,1
074187_077699,2.924115,0.155876,12,0.000339,0.308583,0.45715,1
018398_097174,1.576076,0.351432,26,1.8e-05,0.752521,0.853556,1
081778_005998,2.964188,0.096316,5,0.00018,0.260564,0.425198,1
027977_081754,2.856102,0.202195,3,0.000395,0.388113,0.49287,1
027977_015826,2.963073,0.109432,24,1.6e-05,0.288047,0.44898,1
022950_029840,2.709465,0.133384,24,0.000213,0.377945,0.58317,1
041762_063314,2.142679,0.29466,22,4.7e-05,0.623886,0.76293,1
069458_045115,2.647383,0.144073,23,0.0,0.403906,0.606549,1
000796_073195,2.253034,0.259717,18,1.8e-05,0.633501,0.729719,1
000796_020252,2.268255,0.212104,18,5e-06,0.526327,0.732505,1
000796_085018,1.250166,0.658595,19,0.0,0.864774,0.893531,1
072471_099921,2.78216,0.131347,6,2.6e-05,0.324302,0.539053,1
069849_020753,3.011833,0.089333,10,0.000263,0.25919,0.403889,1
069849_045699,2.447554,0.272229,24,6.1e-05,0.588413,0.6584,1
091924_056240,1.917435,0.425684,3,1.2e-05,0.661975,0.802908,1
091924_080634,2.949251,0.110881,25,0.000195,0.284433,0.454208,1
037153_024392,2.389601,0.277038,21,5e-06,0.520266,0.685006,1
034626_052273,0.856623,0.715575,8,0.0,0.954809,0.93138,1
088031_039093,2.442723,0.211256,17,0.000158,0.562992,0.677248,1
034796_081501,3.12815,0.062477,16,0.000192,0.180103,0.280378,1
018765_008213,3.084024,0.068714,24,0.000133,0.203247,0.338044,1
018765_090466,1.363361,0.575498,20,0.0,0.886486,0.886652,1
079472_005369,2.704294,0.238957,25,1.9e-05,0.433488,0.566274,1
079472_098329,2.151183,0.27193,23,5e-06,0.626108,0.763802,1
079472_088003,1.625587,0.351209,23,0.0,0.783515,0.856151,1
079472_054359,3.00314,0.097623,25,0.000141,0.267433,0.420415,1
079472_060075,1.500105,0.402005,25,0.0,0.822355,0.871674,1
019543_015461,3.123121,0.063558,26,0.00035,0.183294,0.293136,1
019543_011553,1.518182,0.32107,18,0.0,0.79746,0.863127,1
019543_079520,3.025696,0.107288,18,0.000193,0.292256,0.398507,1
021595_009190,3.078466,0.0957,15,0.000534,0.233248,0.341116,1
091669_009549,2.196889,0.268125,21,5.3e-05,0.669122,0.736677,1
057742_016070,1.283194,0.602127,12,0.0,0.894776,0.896096,1
057742_030009,2.165755,0.231702,15,0.0,0.566317,0.755812,1
033188_069827,1.314203,0.524946,9,0.0,0.924052,0.893341,1
051780_031630,2.995988,0.117225,22,4.9e-05,0.295486,0.420168,1
051780_081873,3.005908,0.098135,5,0.001958,0.27666,0.416965,1
051780_011400,2.980725,0.115385,22,6.6e-05,0.274068,0.428537,1
016720_093389,2.949268,0.17082,2,0.001125,0.386394,0.415108,1
016720_019013,3.101917,0.079349,13,9.1e-05,0.23075,0.320385,1
028873_057688,3.035676,0.097355,13,2.3e-05,0.244607,0.379515,1
091497_093320,2.987547,0.119835,18,3.8e-05,0.316754,0.42503,1
038532_000109,2.969773,0.172779,26,0.000181,0.322307,0.418833,1
006015_095108,2.428066,0.182207,24,0.0,0.458363,0.679889,1
052612_009940,2.035451,0.398916,4,0.0,0.637636,0.775303,1
093986_026274,1.220932,0.675416,10,4e-06,0.861186,0.893572,1
015336_052205,1.030702,0.659797,24,0.0,0.93535,0.917284,1
015336_047832,2.130891,0.211702,24,1.2e-05,0.551862,0.75625,1
021092_090133,1.974103,0.42322,16,6.2e-05,0.697072,0.791446,1
067342_078774,2.959824,0.09932,25,0.000529,0.276705,0.444296,1
067342_065354,2.849174,0.139357,21,0.000159,0.353586,0.512866,1
065948_008718,2.772728,0.150043,16,8e-06,0.374271,0.549589,1
029110_066994,2.207145,0.199723,20,0.0,0.540033,0.744339,1
009706_004084,3.071775,0.07213,10,5.7e-05,0.197544,0.327213,1
009706_081636,1.889513,0.443546,9,3e-06,0.715946,0.808562,1
085370_010458,2.333028,0.220418,14,1e-06,0.5718,0.710281,1
066346_086447,2.591537,0.28221,16,9.7e-05,0.447424,0.60677,1
004991_089214,0.351838,0.939038,10,6.3e-05,0.977947,0.946888,1
087638_079607,1.910848,0.377496,22,0.0,0.682037,0.810848,1
087638_026397,2.879406,0.108357,18,0.000416,0.288891,0.494278,1
087638_084628,2.012776,0.190284,24,0.0,0.531318,0.774382,1
087638_040919,0.878704,0.779212,26,0.0,0.903535,0.922744,1
087638_034147,1.168052,0.589232,26,0.0,0.936829,0.907587,1
006063_048577,1.562357,0.348567,8,0.0,0.810907,0.86171,1
091987_099288,3.024407,0.096533,20,0.00035,0.249588,0.402385,1
081387_075558,2.732568,0.128638,11,1.4e-05,0.371056,0.569845,1
077998_021854,1.808391,0.311234,18,0.0,0.771696,0.82718,1
042566_070467,2.575642,0.220959,7,0.0,0.426295,0.623198,1
042566_099900,1.99005,0.331378,17,0.0,0.641239,0.796277,1
075950_062330,1.989573,0.271286,16,0.0,0.650018,0.795661,1
046793_041994,2.498146,0.248205,24,3.8e-05,0.513606,0.656418,1
046793_052712,2.86796,0.133409,16,0.000786,0.328251,0.504044,1
055420_084553,3.1586,0.065867,20,0.000296,0.193855,0.264163,1
097530_075667,2.431713,0.166836,26,0.0,0.411939,0.66721,1
068367_074972,3.173618,0.057384,26,0.000317,0.167467,0.238281,1
068367_029480,2.192546,0.302965,24,2e-06,0.563739,0.750037,1
068367_015074,3.159935,0.064873,21,0.000395,0.182442,0.262323,1
068367_065290,2.572429,0.282625,7,2.7e-05,0.462497,0.619654,1
068367_019900,1.64254,0.297208,25,7e-06,0.742491,0.842719,1
029793_031324,1.710647,0.327846,6,1.4e-05,0.799525,0.842384,1
058116_033803,1.348348,0.521279,21,0.000512,0.894999,0.868107,1
058116_018749,0.579399,0.881577,2,1e-06,0.938603,0.93714,1
038540_063446,1.527572,0.551985,14,0.0,0.802711,0.862895,1
059046_085018,2.314205,0.281445,6,2.7e-05,0.581917,0.709247,1
058597_019401,2.554843,0.213718,9,0.001335,0.544036,0.629266,1
025135_069576,3.096912,0.088218,8,8.5e-05,0.23395,0.343374,1
092015_079279,0.309273,0.941238,13,0.0,0.985908,0.953039,1
092015_003553,1.874055,0.419627,5,0.0,0.720961,0.812514,1
092015_085018,2.231418,0.273192,7,2e-06,0.62044,0.734082,1
092015_097309,2.932402,0.133552,7,2.2e-05,0.319616,0.448173,1
092015_030049,2.979311,0.129623,13,7.5e-05,0.296282,0.429809,1
092015_057210,0.815248,0.765557,13,5.4e-05,0.976683,0.930111,1
092015_095255,2.686637,0.207668,10,0.0,0.407604,0.587034,1
014063_063314,2.773236,0.168234,11,0.000191,0.376798,0.552717,1
014063_001094,2.476131,0.160765,22,0.0,0.40337,0.657656,1
014063_083170,0.903147,0.676294,12,0.0,0.977244,0.929029,1
013183_065870,1.890907,0.330508,24,0.0,0.719976,0.816751,1
038070_065139,1.400659,0.486791,5,0.0,0.852546,0.885894,1
038070_094112,2.929425,0.135227,16,5.6e-05,0.325234,0.459858,1
069488_046347,2.712094,0.139552,26,0.000213,0.398364,0.581639,1
069488_060325,1.114795,0.489822,17,1e-06,0.985708,0.905404,1
044012_064613,3.102426,0.078379,20,0.000343,0.220546,0.335715,1
034252_049502,3.035174,0.115022,16,0.000261,0.291091,0.383399,1
091674_044136,1.370837,0.633695,25,6e-06,0.834498,0.875541,1
091674_091733,3.03793,0.079186,20,9.2e-05,0.215306,0.370094,1
091674_050572,1.095815,0.749655,25,2.7e-05,0.870076,0.89569,1
084985_014769,1.702405,0.326544,9,0.0,0.772648,0.845169,1
084985_003859,1.969526,0.335721,10,2e-06,0.677627,0.799061,1
084985_044022,2.414214,0.226297,9,6e-06,0.531862,0.6896,1
084985_006496,2.547167,0.168792,18,6.6e-05,0.491831,0.644259,1
061349_074698,1.54997,0.291937,12,0.0,0.804257,0.858119,1
061349_013537,1.442081,0.351428,10,0.0,0.853737,0.875847,1
011546_018071,1.894577,0.420424,15,1.8e-05,0.75045,0.787958,1
011546_052993,2.475321,0.27574,15,0.000142,0.558705,0.651302,1
086367_027691,2.755951,0.136853,26,1.1e-05,0.340344,0.546924,1
086367_070543,2.261225,0.295447,6,5.7e-05,0.539149,0.72916,1
009672_090602,2.787943,0.123462,9,9.7e-05,0.3621,0.544149,1
061256_078008,1.338743,0.508494,11,1e-06,0.900107,0.891093,1
069639_080816,3.039398,0.100632,10,0.000264,0.280927,0.385411,1
069639_060503,2.763759,0.130415,16,2.1e-05,0.345979,0.55057,1
085089_055845,1.401357,0.40403,13,0.0,0.866512,0.877573,1
073342_076666,1.379054,0.366974,21,0.0,0.92442,0.879373,1
078498_077533,1.987471,0.334379,26,3e-06,0.687151,0.793804,1
008466_015923,2.853171,0.103982,14,1.6e-05,0.301947,0.503448,1
008466_001720,2.099602,0.297292,20,0.0,0.686869,0.770475,1
017984_089381,3.125778,0.061555,26,0.000223,0.177907,0.285661,1
017984_019533,2.178445,0.28331,19,2e-06,0.572562,0.754419,1
006029_072514,3.177303,0.057906,12,0.000344,0.169649,0.231645,1
073600_049061,3.033612,0.112365,4,2e-06,0.281278,0.385573,1
073600_049783,1.808802,0.269197,4,0.0,0.715187,0.826843,1
031776_030982,2.942833,0.137014,5,0.000811,0.395133,0.423218,1
031776_065139,1.505223,0.40739,4,0.0,0.809691,0.868705,1
018129_073402,2.817698,0.19729,26,0.000118,0.349137,0.512607,1
031877_031274,2.213449,0.295194,16,4e-06,0.603602,0.742547,1
031877_092589,2.837943,0.135453,16,0.000387,0.356651,0.520552,1
057060_034806,3.145992,0.06385,26,0.000433,0.182435,0.264858,1
057060_040447,2.987216,0.099651,25,8.9e-05,0.282414,0.427671,1
004140_045959,2.801688,0.133173,26,4e-06,0.31667,0.524989,1
004140_004930,0.311216,0.936596,3,0.0,0.985885,0.95462,1
008855_027856,2.034243,0.219288,1,2e-06,0.595275,0.782607,1
008855_048640,0.10063,0.984863,1,0.0,0.994088,0.960365,1
008855_045758,1.550069,0.430993,15,0.0,0.812148,0.867544,1
008855_083398,3.162157,0.084133,13,0.001482,0.236743,0.272394,1
016171_015732,1.972513,0.236373,25,0.0,0.610657,0.790442,1
022946_079466,2.222372,0.270905,3,1e-06,0.592394,0.745344,1
069371_002912,3.010353,0.085346,22,0.000455,0.243319,0.392845,1
069371_060627,2.995002,0.078098,26,0.000314,0.228744,0.398555,1
069371_049129,2.986708,0.094264,22,0.000191,0.261971,0.408774,1
069371_033452,3.0035,0.086556,26,0.000266,0.23737,0.39617,1
038490_067305,2.2068,0.264429,26,0.000364,0.598166,0.749632,1
038490_014010,2.928208,0.116145,24,0.000665,0.326064,0.467205,1
038490_005746,3.09551,0.086724,24,0.000449,0.236849,0.34877,1
038439_062050,1.708462,0.310683,22,6.8e-05,0.751829,0.838475,1
080053_060075,1.543619,0.463163,5,0.0,0.795777,0.867584,1
008866_046094,2.617442,0.140912,3,5.3e-05,0.389283,0.617404,1
016663_099073,3.053964,0.085177,26,0.000464,0.246332,0.378357,1
082833_022488,2.482664,0.1611,18,5e-05,0.46419,0.666826,1
082833_077416,3.134983,0.086492,18,0.00037,0.237233,0.301276,1
082833_076782,1.79587,0.443884,7,0.0,0.717018,0.827104,1
082833_018782,3.170738,0.054957,9,0.000285,0.15976,0.221842,1
082833_014455,2.006422,0.271764,18,1e-05,0.662282,0.789052,1
082833_080379,1.581166,0.35032,18,0.0,0.841651,0.859676,1
082833_058204,2.001308,0.245522,18,1e-06,0.670035,0.790031,1
085203_095600,3.093024,0.071479,13,3.7e-05,0.208036,0.334565,1
036812_058653,3.054257,0.102438,17,0.0,0.271042,0.370897,1
098281_096586,2.746443,0.109021,15,1e-06,0.322187,0.549102,1
032147_060246,2.813102,0.121821,8,0.001062,0.31648,0.526696,1
032147_095835,2.794684,0.118484,8,0.00117,0.325589,0.530759,1
069996_044060,1.834361,0.320013,10,0.0,0.72442,0.82419,1
069996_032757,3.002955,0.092591,9,0.000526,0.256381,0.415616,1
069996_007512,2.883947,0.144819,26,0.000167,0.363273,0.489326,1
069996_006015,1.71792,0.472593,26,0.0,0.774103,0.83568,1
012811_099162,1.345339,0.505369,12,0.0,0.870777,0.889156,1
085581_057194,3.048102,0.088585,12,0.000309,0.252028,0.382767,1
085581_017170,2.175341,0.251768,24,1e-05,0.574944,0.751966,1
019788_028175,3.106928,0.070256,16,0.000445,0.209295,0.323624,1
019788_009479,3.03544,0.114499,25,0.000616,0.269209,0.393266,1
095618_047782,2.78609,0.169429,18,0.000154,0.383952,0.544149,1
095618_084843,2.042525,0.385748,20,0.000197,0.668679,0.778758,1
070725_041151,2.476596,0.274244,18,0.0,0.521579,0.661539,1
092807_000713,3.185098,0.054841,22,0.000295,0.159669,0.212718,1
092807_014083,1.6989,0.42867,26,0.0,0.772238,0.846236,1
092807_063405,2.226791,0.332318,19,1.6e-05,0.579186,0.731006,1
082458_077206,2.939167,0.123213,23,0.000131,0.316952,0.451955,1
082458_040813,1.449025,0.415859,2,0.0,0.8521,0.878569,1
092108_049568,1.164356,0.653068,2,0.0,0.896232,0.905947,1
096696_084930,3.051571,0.114437,20,0.00025,0.272032,0.378193,1
096696_017895,1.969933,0.378901,3,1.1e-05,0.699366,0.793961,1
006433_022517,3.166213,0.059286,19,0.000236,0.173965,0.247969,1
006433_067825,1.876901,0.435695,21,0.0,0.714999,0.811445,1
089775_043329,2.476532,0.174188,16,0.0,0.487809,0.669591,1
040707_044706,2.81154,0.133487,14,5.1e-05,0.340869,0.529427,1
021007_086525,2.364911,0.199462,9,1.6e-05,0.515221,0.705291,1
035921_044593,3.077491,0.094944,15,0.000227,0.276596,0.349815,1
035921_014911,3.091577,0.07685,16,0.000383,0.220815,0.33811,1
024310_064454,2.212815,0.16442,4,6e-06,0.450482,0.720148,1
024310_092108,0.735169,0.781095,3,3.3e-05,0.965551,0.936304,1
053190_036106,2.654089,0.166928,9,9e-06,0.422073,0.604978,1
024758_006127,2.174147,0.473418,23,0.000111,0.606328,0.695613,1
015164_074318,2.873619,0.096038,20,0.000481,0.27675,0.490911,1
015164_084628,3.087391,0.072327,17,0.00014,0.212878,0.34155,1
075529_005216,1.242487,0.638577,12,1e-06,0.841775,0.894114,1
012738_044832,2.8037,0.11049,26,2.9e-05,0.32237,0.525808,1
035379_042026,2.475532,0.194142,9,1.1e-05,0.505785,0.672403,1
028441_023125,2.514861,0.202775,22,1.3e-05,0.456288,0.656988,1
028441_069576,3.023331,0.125797,8,8e-05,0.2894,0.399058,1
024885_055718,2.727654,0.170354,9,0.00177,0.43053,0.573473,1
024885_079520,3.189425,0.055583,25,0.000298,0.164382,0.206766,1
075584_067672,1.667808,0.575137,14,0.0,0.732172,0.825351,1
075584_019050,2.47098,0.170244,26,1e-06,0.427004,0.667987,1
075584_047989,0.601829,0.814124,14,0.0,0.989826,0.944809,1
047959_016510,2.515571,0.169724,10,0.000462,0.495156,0.655461,1
078219_072065,3.151213,0.061625,20,0.000353,0.180429,0.271707,1
078219_000378,3.100329,0.091985,8,0.001075,0.257798,0.33833,1
017895_001588,3.049465,0.072513,25,0.000125,0.206563,0.343236,1
017895_034848,1.550384,0.508563,18,0.0,0.831328,0.864309,1
017895_031331,1.258186,0.587169,12,0.0,0.85959,0.896766,1
017895_086213,1.840019,0.352404,12,2e-06,0.736288,0.824694,1
095460_078228,1.405488,0.438491,26,0.0,0.909117,0.876759,1
066072_052954,2.303284,0.211837,12,0.0,0.502537,0.718415,1
066072_085018,2.667029,0.201585,9,7.2e-05,0.450639,0.594267,1
037074_021544,2.971914,0.099524,7,0.000683,0.270417,0.43674,1
037074_074318,3.035527,0.074799,20,0.000233,0.218466,0.377236,1
037074_084628,3.069526,0.072876,23,6.3e-05,0.214653,0.352995,1
027692_009564,2.354072,0.214587,7,2.2e-05,0.522048,0.70946,1
027692_054549,1.609161,0.493159,19,1.6e-05,0.730016,0.852429,1
027692_099262,2.781185,0.126154,19,0.00026,0.335044,0.546734,1
042856_014706,2.281026,0.226705,7,3.5e-05,0.498634,0.722879,1
080093_053287,2.006095,0.29795,14,6e-06,0.659166,0.794851,1
018290_078126,1.294594,0.614266,18,2e-06,0.86385,0.892129,1
018290_023125,2.893513,0.121323,10,5e-06,0.31962,0.48079,1
018290_006629,1.441514,0.382922,18,0.0,0.861058,0.877242,1
022069_032327,1.271031,0.530589,26,0.0,0.927649,0.898222,1
062447_072319,2.617715,0.182918,11,0.000129,0.460513,0.612279,1
062447_072441,0.891361,0.628366,8,1e-06,0.987662,0.92815,1
021907_082576,2.393344,0.2977,25,4e-06,0.554374,0.688805,1
008431_064999,3.080221,0.102385,14,0.000405,0.244697,0.353493,1
076697_002562,2.520977,0.155579,16,3e-05,0.429486,0.653909,1
057028_006843,2.481435,0.153017,14,0.0,0.405223,0.659508,1
057028_013666,1.697951,0.528424,12,0.0,0.757339,0.832401,1
095255_030049,2.519482,0.212071,24,0.000168,0.54353,0.64678,1
015134_097034,3.150554,0.065442,24,0.000266,0.184416,0.266535,1
011303_008003,2.53091,0.182618,8,1.1e-05,0.445629,0.650263,1
095278_043313,2.716225,0.172957,21,0.000167,0.435404,0.576185,1
050637_029197,2.764704,0.14929,8,0.000119,0.366501,0.557008,1
050637_000689,0.534781,0.876324,24,1.1e-05,0.973487,0.945394,1
028170_092130,3.14033,0.068202,26,0.000378,0.203024,0.29566,1
028170_047751,2.445569,0.181285,15,0.0,0.451667,0.673163,1
087962_038266,3.110498,0.068891,25,0.00021,0.198874,0.311652,1
087962_052993,2.898126,0.132175,23,0.003528,0.339671,0.48963,1
002823_002405,3.156721,0.062292,20,0.000252,0.17912,0.263697,1
002823_086188,3.168194,0.057812,20,0.000271,0.17127,0.246646,1
065174_084772,3.145706,0.091134,23,0.000375,0.218337,0.286765,1
055569_011531,2.697766,0.179637,25,2.2e-05,0.437417,0.58104,1
055569_003860,1.883905,0.262691,24,0.0,0.666987,0.812974,1
014977_099637,1.074401,0.578673,1,0.0,0.929869,0.914708,1
014977_010920,0.898398,0.682334,10,1e-06,0.983356,0.928163,1
014977_049502,2.854607,0.112062,11,7.6e-05,0.310961,0.508128,1
050208_017013,3.122743,0.080161,13,7.3e-05,0.219639,0.302587,1
068896_044062,1.727427,0.341574,13,9e-06,0.783436,0.839616,1
090586_047440,2.479212,0.168826,20,0.0,0.443966,0.655776,1
014311_060743,3.129133,0.070926,11,0.000302,0.205761,0.297621,1
014311_033114,2.813651,0.144422,18,4e-06,0.327105,0.52639,1
088407_037357,2.88795,0.136807,4,0.001484,0.347265,0.49285,1
061286_095500,3.173091,0.058792,24,0.000261,0.170513,0.23605,1
045795_018657,3.090255,0.078378,12,0.000264,0.228928,0.345434,1
023154_059507,2.990182,0.085014,25,0.000374,0.250455,0.423368,1
087052_060553,1.153512,0.705517,11,0.0,0.889412,0.898167,1
091382_084250,1.038392,0.667427,24,0.0,0.947909,0.917441,1
091382_033646,1.306174,0.368939,24,0.0,0.920282,0.885073,1
028409_061963,1.9955,0.382307,20,1e-06,0.638229,0.79213,1
049814_038386,0.94179,0.616939,13,0.0,0.989017,0.924775,1
054218_097153,2.023858,0.233575,25,1e-06,0.640972,0.787481,1
083015_034248,3.08319,0.070733,22,0.000153,0.206081,0.340986,1
083015_010920,2.720279,0.109893,6,0.000151,0.314126,0.560572,1
028977_036177,2.220524,0.209093,4,5e-06,0.500304,0.736586,1
034147_080830,2.960649,0.097482,19,0.000293,0.287691,0.448047,1
050300_071478,2.029455,0.224945,11,0.0,0.570494,0.780591,1
076914_004147,2.277773,0.311136,18,0.000172,0.632633,0.688373,1
056418_091295,2.496182,0.14623,16,0.0,0.382501,0.648995,1
078666_092359,1.102599,0.703755,8,2e-06,0.865999,0.905192,1
066788_057509,2.966605,0.108669,21,0.000169,0.262044,0.437412,1
074684_007685,2.463728,0.164071,9,1e-06,0.450942,0.672949,1
047578_043717,2.072619,0.313706,20,6e-06,0.678891,0.777926,1
047578_028840,2.900191,0.104342,14,0.000338,0.274928,0.473291,1
063497_079654,2.88185,0.132997,18,0.000631,0.346397,0.497175,1
028399_014900,1.989213,0.287381,15,0.0,0.65283,0.795752,1
011581_000196,1.294339,0.641568,3,3e-06,0.876417,0.888622,1
027440_037533,2.438594,0.173423,6,1e-06,0.452588,0.678275,1
027440_022946,1.921375,0.307319,19,1e-06,0.754212,0.805761,1
027440_080319,0.703114,0.691983,19,3e-06,0.99531,0.938079,1
027440_095255,2.596882,0.230159,22,8e-06,0.483926,0.619339,1
086079_091733,2.416665,0.233849,16,2e-06,0.479611,0.684435,0
018398_025135,3.034702,0.085793,11,5e-05,0.239757,0.386808,0
081778_021907,2.839278,0.107639,5,0.000367,0.298949,0.502935,0
045180_059797,1.298575,0.469817,7,0.0,0.899319,0.895168,0
085486_065432,2.602653,0.17632,9,1e-06,0.387703,0.616384,0
022950_027543,3.090068,0.094676,26,0.000543,0.228694,0.341584,0
022950_030254,2.888518,0.109224,24,0.000491,0.302079,0.492009,0
022950_085934,2.854011,0.150504,24,0.000137,0.36378,0.51228,0
022950_035264,2.95293,0.101926,24,0.000232,0.286477,0.449479,0
041762_001206,3.093593,0.063728,22,0.00014,0.189248,0.312786,0
000796_084342,1.834541,0.41201,18,0.0,0.732921,0.817365,0
000796_081684,2.566786,0.18795,14,7e-06,0.496522,0.634446,0
000796_072887,2.390825,0.196597,19,2e-06,0.495656,0.697368,0
072471_053171,1.53267,0.507792,4,0.0,0.802511,0.865278,0
069849_031619,2.856454,0.132941,5,0.000384,0.342423,0.510753,0
097510_052142,3.070083,0.074651,19,0.000275,0.212873,0.356239,0
097510_069669,3.149066,0.061437,24,0.000332,0.174327,0.263716,0
091924_091701,1.034349,0.708995,4,0.0,0.926038,0.916137,0
034626_062955,0.701798,0.725035,8,3.4e-05,0.991796,0.938229,0
034626_028057,0.590558,0.795212,8,1.5e-05,0.995919,0.945344,0
088031_023578,2.97063,0.108722,15,0.000131,0.274624,0.428248,0
088031_079654,2.945497,0.090838,13,8.9e-05,0.254293,0.448496,0
093340_058784,3.109163,0.080591,24,7.8e-05,0.208441,0.308536,0
018765_065921,3.088173,0.081215,24,0.000408,0.22889,0.346421,0
