guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
085679_018047,0.039805,0.994803,0,2e-06,0.998737,0.962068,1
044839_025901,0.039667,0.995402,0,1.3e-05,0.997717,0.961456,1
071730_021092,0.020406,0.997623,0,2e-06,0.999405,0.96248,1
087182_037135,0.06007,0.989244,7,0.0,0.999954,0.962141,1
014305_090115,0.121886,0.981449,0,4e-06,0.993823,0.959627,1
014305_041611,0.103567,0.987093,0,7.3e-05,0.991781,0.956866,1
056389_023125,0.070212,0.991284,0,2.4e-05,0.99555,0.959933,1
056389_069576,0.018635,0.998066,0,1e-06,0.999007,0.962285,1
056389_078292,0.042408,0.994108,0,3e-06,0.999433,0.96215,1
074187_070595,0.044458,0.994494,0,1e-06,0.997908,0.961717,1
074187_008003,0.072845,0.990987,0,1.5e-05,0.994833,0.959903,1
074187_077699,0.602135,0.804385,0,1e-06,0.994204,0.945119,1
018398_069851,0.114362,0.982199,0,7e-06,0.996746,0.959334,1
018398_020093,0.034022,0.995608,0,1e-06,0.999105,0.962234,1
018398_014860,0.056166,0.993476,0,1.2e-05,0.995656,0.960296,1
081778_005998,0.424326,0.925774,0,0.000201,0.966337,0.940554,1
081778_011134,0.000585,0.999949,0,0.0,0.999996,0.962957,1
081778_078292,0.483622,0.915555,0,5.6e-05,0.960546,0.934498,1
015890_062563,0.344172,0.936474,0,4.5e-05,0.978899,0.948355,1
029720_021800,2.7e-05,0.999998,17,0.0,1.0,0.962963,1
054718_040626,0.127014,0.974536,2,6e-06,0.999028,0.960541,1
027977_015826,0.2881,0.953287,0,2.8e-05,0.978637,0.94798,1
027977_008811,0.019874,0.997767,0,0.0,0.999205,0.962425,1
041762_063314,0.033828,0.996285,0,1.8e-05,0.998043,0.961348,1
027172_070190,0.039242,0.994638,0,3e-06,0.999032,0.962021,1
027172_074158,0.132426,0.983124,0,5.4e-05,0.988276,0.954729,1
027172_060336,5.8e-05,0.999996,0,0.0,0.999999,0.962963,1
027172_026370,0.032857,0.994774,21,0.0,0.999986,0.962571,1
048565_058447,1.249861,0.347792,0,0.0,0.961803,0.885544,1
069458_007022,0.059897,0.992811,0,1.7e-05,0.996037,0.960401,1
