guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
081778_005998,0.503717,0.886034,1,0.0,0.970326,0.946753,1
054718_040626,0.814847,0.817198,25,0.0,0.93645,0.921035,1
069849_093321,2.548723,0.179486,6,2e-06,0.421296,0.642524,1
082218_052632,2.385558,0.212048,15,2e-06,0.521389,0.697165,1
091924_080634,2.065799,0.463694,24,1e-06,0.655207,0.745985,1
038362_015194,1.331798,0.469028,14,0.0,0.88363,0.892618,1
021595_009190,2.281535,0.314115,10,0.0,0.576269,0.715544,1
051780_081873,2.026773,0.287245,25,0.0,0.674537,0.789785,1
005640_098606,1.824197,0.49199,15,0.0,0.740051,0.805483,1
004627_080066,0.834924,0.733019,3,0.0,0.96096,0.931416,1
006015_095108,0.346783,0.924607,2,0.0,0.990477,0.953991,1
006015_067925,1.367789,0.627714,2,0.0,0.816253,0.878888,1
006015_037906,1.040882,0.580396,22,0.0,0.956411,0.917956,1
015336_040898,2.034879,0.454608,18,0.0,0.639787,0.759444,1
037669_025030,1.363192,0.606045,16,0.0,0.839889,0.880968,1
085370_080634,1.487954,0.410585,3,0.0,0.847175,0.875191,1
010715_078897,0.676024,0.848221,3,0.0,0.952088,0.934874,1
064630_085474,2.04505,0.391721,20,0.0,0.637514,0.778363,1
091987_092610,1.227581,0.658697,25,0.0,0.894445,0.892927,1
046793_041994,1.29337,0.565708,13,0.0,0.872807,0.896621,1
068367_024069,2.316412,0.18723,18,0.0,0.532729,0.714409,1
093852_005796,2.722534,0.194671,21,0.0,0.374545,0.557531,1
093852_062903,2.078537,0.418182,14,0.0,0.642946,0.762303,1
053078_074318,0.561495,0.851619,2,0.0,0.979961,0.945869,1
018836_030292,1.775173,0.326581,11,0.0,0.710746,0.833011,1
066634_015867,0.853593,0.690114,2,0.0,0.96076,0.926844,1
066634_037533,1.377134,0.564328,5,0.0,0.845672,0.883532,1
044911_096848,2.575587,0.191954,5,1.3e-05,0.452349,0.636624,1
050620_020241,2.023988,0.334714,10,1e-06,0.665175,0.789324,1
050424_026367,0.671257,0.732054,5,0.0,0.996729,0.940883,1
044012_064613,2.555306,0.193886,10,0.0,0.455092,0.627665,1
041409_005603,1.061045,0.763887,16,0.0,0.856541,0.895081,1
011546_038188,2.41394,0.254045,26,0.0,0.489459,0.683356,1
086367_027691,0.236205,0.956378,1,0.0,0.988204,0.956602,1
086367_070543,1.363991,0.325144,2,0.0,0.852456,0.87358,1
065363_066620,1.400783,0.326515,3,0.0,0.877583,0.875706,1
053986_001749,1.600182,0.510749,12,0.0,0.832568,0.84883,1
062010_030456,1.916842,0.479411,3,1e-06,0.707382,0.788614,1
080813_060620,1.618657,0.522026,22,0.0,0.764421,0.853152,1
017546_044901,2.49471,0.165257,15,0.0,0.451755,0.662351,1
031877_004916,0.940906,0.765283,17,0.0,0.919582,0.916302,1
057060_050983,1.966705,0.514046,25,0.0,0.673783,0.755626,1
057060_034806,2.603485,0.211824,24,0.0,0.417159,0.616245,1
057060_040447,2.829707,0.164981,24,1e-06,0.342865,0.513653,1
057060_061104,1.670351,0.417805,11,0.0,0.826743,0.848373,1
057060_032579,1.748194,0.485507,25,0.0,0.764156,0.831298,1
016171_015732,1.175085,0.665768,8,0.0,0.892256,0.903741,1
038490_086213,1.118631,0.525646,25,0.0,0.928156,0.910651,1
038490_067305,0.960152,0.557161,25,0.0,0.997938,0.92084,1
038490_005746,0.993252,0.615161,24,0.0,0.989094,0.917804,1
038490_098561,1.330419,0.34921,25,0.0,0.854164,0.879331,1
016663_060192,1.498451,0.596082,15,0.0,0.807507,0.861983,1
082833_031326,1.15466,0.450039,2,0.0,0.923675,0.903006,1
082833_081676,0.119049,0.981677,2,0.0,0.993184,0.959841,1
054788_006861,0.08584,0.987239,5,0.0,0.996203,0.961049,1
032147_060246,0.376992,0.910131,8,0.0,0.994153,0.953443,1
032147_095835,0.629624,0.822709,8,0.0,0.977761,0.943203,1
032147_011486,0.970995,0.501866,16,0.0,0.976156,0.917453,1
012811_010358,1.628277,0.518931,15,0.0,0.826398,0.843996,1
070725_077112,1.322938,0.6088,4,1e-06,0.875587,0.889729,1
092807_000713,2.868676,0.123953,19,0.0,0.335882,0.497466,1
096288_098339,2.569967,0.20914,12,0.0,0.430081,0.630958,1
006433_022517,2.839757,0.226945,25,0.0,0.391313,0.479827,1
006433_098770,2.878159,0.134354,25,0.0,0.332867,0.498122,1
085716_093850,1.969843,0.293782,7,5e-06,0.725253,0.797405,1
085716_081485,1.675567,0.538668,9,2e-06,0.786572,0.834051,1
040707_064046,2.549003,0.2027,3,2e-06,0.447005,0.637334,1
009152_076097,0.218983,0.962384,3,0.0,0.988123,0.956404,1
053190_036106,0.996526,0.705727,1,0.0,0.934998,0.920921,1
012738_081068,0.490953,0.889348,12,0.0,0.982671,0.946816,1
012738_044832,1.548832,0.419853,13,0.0,0.797991,0.864471,1
024885_069669,1.281155,0.607996,13,0.0,0.863993,0.893832,1
037074_068733,1.04836,0.474117,7,0.0,0.953226,0.910927,1
037074_015736,1.064698,0.623171,4,0.0,0.957017,0.916841,1
037074_021544,1.18088,0.540095,7,0.0,0.961656,0.903232,1
042856_058258,0.506406,0.895603,21,0.0,0.971573,0.943303,1
033339_085832,1.562688,0.50403,3,0.0,0.785344,0.863165,1
