guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_023148,2.221259,0.248789,21,0.0,0.667736,0.731603,1
071730_040550,0.240775,0.951902,4,0.0,0.991474,0.957307,1
071730_021092,1.804835,0.339598,17,0.0,0.753584,0.827336,1
061813_043887,1.777334,0.394843,24,0.0,0.786779,0.832963,1
074187_077699,1.069673,0.528094,10,0.0,0.953167,0.912096,1
027977_043573,2.17697,0.319128,11,0.0,0.629093,0.741161,1
058267_068992,1.009631,0.530489,10,0.0,0.95938,0.913881,1
027172_021680,2.228725,0.160124,16,0.0,0.449742,0.722941,1
069849_006150,1.346494,0.684854,6,0.0,0.800625,0.863338,1
069849_074187,1.271083,0.410775,12,0.0,0.94247,0.892025,1
006901_026367,1.123521,0.653963,12,0.0,0.884802,0.908764,1
091924_080634,1.921593,0.289765,22,0.0,0.634935,0.805141,1
034626_050383,1.209124,0.68852,26,0.0,0.879893,0.891468,1
034796_097118,0.957915,0.729474,8,0.0,0.934263,0.920009,1
018765_028553,2.25245,0.259858,9,0.0,0.616546,0.732642,1
038362_093972,1.240231,0.42135,22,0.0,0.956658,0.895452,1
079472_070336,1.402744,0.404537,10,0.0,0.87155,0.880276,1
079472_033140,1.492759,0.456617,20,0.0,0.833241,0.873691,1
079472_004404,0.920922,0.804419,11,0.0,0.892785,0.907678,1
079472_005369,1.419682,0.469709,11,0.0,0.897243,0.882458,1
079472_043721,1.256521,0.654786,15,0.0,0.867345,0.893211,1
079472_070110,1.361408,0.531832,20,0.0,0.886406,0.889489,1
079472_088003,0.232553,0.95101,13,0.0,0.994338,0.957858,1
049846_030686,1.541228,0.459998,2,0.0,0.839641,0.864142,1
048301_024664,1.216347,0.423796,26,0.0,0.948516,0.899528,1
048301_012834,0.915708,0.769618,6,0.0,0.911344,0.920858,1
005640_098606,1.323098,0.616904,18,0.0,0.856633,0.885383,1
004627_014338,0.920811,0.690505,17,0.0,0.957806,0.920476,1
016720_094917,0.657917,0.861319,26,0.0,0.936308,0.932816,1
006015_037906,0.897919,0.69167,8,0.0,0.977406,0.929019,1
006015_091841,0.805885,0.744984,7,0.0,0.962213,0.933352,1
093986_075157,0.424854,0.918411,23,0.0,0.962353,0.946303,1
021092_060308,2.269304,0.319979,21,0.0,0.636086,0.719937,1
009706_004084,2.131125,0.340212,20,0.0,0.616217,0.763196,1
000139_046659,2.123734,0.34804,8,0.0,0.589319,0.763152,1
037669_060294,2.276823,0.26217,19,0.0,0.586198,0.727305,1
085370_051582,0.677068,0.817473,7,0.0,0.977157,0.940207,1
085370_080634,1.526886,0.288004,5,0.0,0.771393,0.856474,1
010715_078897,1.65884,0.532156,2,0.0,0.766705,0.840956,1
010715_089769,0.965591,0.764157,8,0.0,0.886503,0.914351,1
010715_058583,2.03011,0.369226,19,0.0,0.640266,0.785576,1
006063_048744,1.921483,0.357516,18,0.0,0.709433,0.807862,1
061698_055422,2.243793,0.279587,12,0.0,0.574411,0.738421,1
091987_099288,1.492481,0.531143,19,0.0,0.833952,0.873316,1
077998_068332,1.360467,0.704524,5,0.0,0.809,0.845741,1
042566_076555,1.875481,0.532214,22,1e-06,0.680478,0.782769,1
075950_062330,2.69791,0.144449,13,1.3e-05,0.397961,0.586249,1
013228_001725,2.443078,0.196575,13,0.0,0.506742,0.674232,1
